path,period,strategy,wealth
7,80,buy_and_hold,32.5
7,81,buy_and_hold,64.5
7,82,buy_and_hold,32.5
7,83,buy_and_hold,16.5
7,84,buy_and_hold,32.5
7,85,buy_and_hold,16.5
7,86,buy_and_hold,32.5
7,87,buy_and_hold,16.5
7,88,buy_and_hold,32.5
7,89,buy_and_hold,16.5
7,90,buy_and_hold,8.5
7,91,buy_and_hold,16.5
7,92,buy_and_hold,32.5
7,93,buy_and_hold,16.5
7,94,buy_and_hold,8.5
7,95,buy_and_hold,16.5
7,96,buy_and_hold,32.5
7,97,buy_and_hold,64.5
7,98,buy_and_hold,32.5
7,99,buy_and_hold,16.5
7,100,buy_and_hold,8.5
8,0,buy_and_hold,1
8,1,buy_and_hold,0.75
8,2,buy_and_hold,1
8,3,buy_and_hold,1.5
8,4,buy_and_hold,1
8,5,buy_and_hold,0.75
8,6,buy_and_hold,1
8,7,buy_and_hold,0.75
8,8,buy_and_hold,0.625
8,9,buy_and_hold,0.5625
8,10,buy_and_hold,0.53125
8,11,buy_and_hold,0.515625
8,12,buy_and_hold,0.53125
8,13,buy_and_hold,0.515625
8,14,buy_and_hold,0.53125
8,15,buy_and_hold,0.515625
8,16,buy_and_hold,0.53125
8,17,buy_and_hold,0.5625
8,18,buy_and_hold,0.53125
8,19,buy_and_hold,0.515625
8,20,buy_and_hold,0.5078125
8,21,buy_and_hold,0.515625
8,22,buy_and_hold,0.53125
8,23,buy_and_hold,0.5625
8,24,buy_and_hold,0.625
8,25,buy_and_hold,0.75
8,26,buy_and_hold,1
8,27,buy_and_hold,0.75
8,28,buy_and_hold,1
8,29,buy_and_hold,0.75
8,30,buy_and_hold,0.625
8,31,buy_and_hold,0.75
8,32,buy_and_hold,0.625
8,33,buy_and_hold,0.5625
8,34,buy_and_hold,0.625
8,35,buy_and_hold,0.5625
8,36,buy_and_hold,0.53125
8,37,buy_and_hold,0.515625
8,38,buy_and_hold,0.5078125
8,39,buy_and_hold,0.515625
8,40,buy_and_hold,0.53125
8,41,buy_and_hold,0.5625
8,42,buy_and_hold,0.53125
8,43,buy_and_hold,0.515625
8,44,buy_and_hold,0.53125
8,45,buy_and_hold,0.515625
8,46,buy_and_hold,0.53125
8,47,buy_and_hold,0.515625
8,48,buy_and_hold,0.53125
8,49,buy_and_hold,0.5625
8,50,buy_and_hold,0.625
8,51,buy_and_hold,0.5625
8,52,buy_and_hold,0.625
8,53,buy_and_hold,0.75
8,54,buy_and_hold,0.625
8,55,buy_and_hold,0.75
8,56,buy_and_hold,1
8,57,buy_and_hold,0.75
8,58,buy_and_hold,1
8,59,buy_and_hold,1.5
8,60,buy_and_hold,2.5
8,61,buy_and_hold,4.5
8,62,buy_and_hold,2.5
8,63,buy_and_hold,4.5
8,64,buy_and_hold,2.5
8,65,buy_and_hold,1.5
8,66,buy_and_hold,1
8,67,buy_and_hold,0.75
8,68,buy_and_hold,1
8,69,buy_and_hold,1.5
8,70,buy_and_hold,1
8,71,buy_and_hold,1.5
8,72,buy_and_hold,2.5
8,73,buy_and_hold,4.5
8,74,buy_and_hold,2.5
8,75,buy_and_hold,4.5
8,76,buy_and_hold,2.5
8,77,buy_and_hold,4.5
8,78,buy_and_hold,8.5
8,79,buy_and_hold,16.5
8,80,buy_and_hold,8.5
8,81,buy_and_hold,4.5
8,82,buy_and_hold,2.5
8,83,buy_and_hold,4.5
8,84,buy_and_hold,8.5
8,85,buy_and_hold,4.5
8,86,buy_and_hold,8.5
8,87,buy_and_hold,4.5
8,88,buy_and_hold,8.5
8,89,buy_and_hold,16.5
