day,price,fraction,wealth
90,0.6361854860638744,0.75,77.58162368279164
91,0.6998040346702619,0.75,83.40024545900101
92,0.6298236312032357,0.75,77.14522704957594
93,0.6928059943235594,0.75,82.93111907829413
94,0.6235253948912035,0.75,76.71128514742207
95,0.685877934380324,0.75,82.46463153347872
96,0.6172901409422916,0.75,76.27978416846783
97,0.6790191550365209,0.75,82.00076798110291
98,0.6111172395328688,0.75,75.85071038252019
99,0.6722289634861557,0.75,81.53951366120921
100,0.6050060671375401,0.75,75.42405013661852
0,1.0,1.0,100.0
1,1.1,1.0,110.00000000000001
2,0.9900000000000001,1.0,99.00000000000001
3,1.0890000000000002,1.0,108.90000000000002
4,0.9801000000000002,1.0,98.01000000000002
5,1.0781100000000003,1.0,107.81100000000004
6,0.9702990000000004,1.0,97.02990000000004
7,1.0673289000000006,1.0,106.73289000000005
8,0.9605960100000005,1.0,96.05960100000004
9,1.0566556110000007,1.0,105.66556110000008
10,0.9509900499000007,1.0,95.09900499000007
11,1.0460890548900008,1.0,104.60890548900008
12,0.9414801494010008,1.0,94.14801494010008
13,1.035628164341101,1.0,103.56281643411009
14,0.9320653479069909,1.0,93.2065347906991
15,1.02527188269769,1.0,102.52718826976901
16,0.9227446944279211,1.0,92.27446944279211
17,1.0150191638707133,1.0,101.50191638707133
18,0.913517247483642,1.0,91.3517247483642
19,1.0048689722320063,1.0,100.48689722320063
20,0.9043820750088057,1.0,90.43820750088058
21,0.9948202825096863,1.0,99.48202825096864
22,0.8953382542587177,1.0,89.53382542587177
23,0.9848720796845896,1.0,98.48720796845896
24,0.8863848717161307,1.0,88.63848717161306
25,0.9750233588877438,1.0,97.50233588877438
26,0.8775210229989695,1.0,87.75210229989695
27,0.9652731252988666,1.0,96.52731252988666
28,0.8687458127689799,1.0,86.87458127689798
29,0.955620394045878,1.0,95.5620394045878
30,0.8600583546412902,1.0,86.00583546412902
31,0.9460641901054193,1.0,94.60641901054193
32,0.8514577710948774,1.0,85.14577710948774
33,0.9366035482043652,1.0,93.66035482043652
34,0.8429431933839286,1.0,84.29431933839287
35,0.9272375127223216,1.0,92.72375127223216
36,0.8345137614500895,1.0,83.45137614500895
37,0.9179651375950985,1.0,91.79651375950985
38,0.8261686238355886,1.0,82.61686238355887
39,0.9087854862191476,1.0,90.87854862191476
40,0.8179069375972329,1.0,81.79069375972328
41,0.8996976313569562,1.0,89.96976313569563
42,0.8097278682212606,1.0,80.97278682212607
43,0.8907006550433868,1.0,89.07006550433869
44,0.8016305895390481,1.0,80.16305895390481
45,0.8817936484929529,1.0,88.1793648492953
46,0.7936142836436577,1.0,79.36142836436576
47,0.8729757120080236,1.0,87.29757120080237
48,0.7856781408072212,1.0,78.56781408072212
49,0.8642459548879434,1.0,86.42459548879434
50,0.7778213593991491,1.0,77.78213593991491
51,0.8556034953390641,1.0,85.5603495339064
52,0.7700431458051578,1.0,77.00431458051578
53,0.8470474603856736,1.0,84.70474603856736
54,0.7623427143471062,1.0,76.23427143471062
55,0.8385769857818169,1.0,83.8576985781817
56,0.7547192872036352,1.0,75.47192872036352
57,0.8301912159239988,1.0,83.01912159239988
58,0.7471720943315989,1.0,74.7172094331599
59,0.8218893037647589,1.0,82.1889303764759
60,0.739700373388283,1.0,73.97003733882829
61,0.8136704107271113,1.0,81.36704107271113
62,0.7323033696544002,1.0,73.23033696544002
63,0.8055337066198404,1.0,80.55337066198403
64,0.7249803359578564,1.0,72.49803359578564
65,0.797478369553642,1.0,79.7478369553642
66,0.7177305325982779,1.0,71.77305325982779
67,0.7895035858581058,1.0,78.95035858581058
68,0.7105532272722952,1.0,71.05532272722952
69,0.7816085499995248,1.0,78.16085499995248
70,0.7034476949995723,1.0,70.34476949995722
71,0.7737924644995295,1.0,77.37924644995296
72,0.6964132180495766,1.0,69.64132180495766
73,0.7660545398545343,1.0,76.60545398545344
74,0.6894490858690809,1.0,68.9449085869081
75,0.7583939944559891,1.0,75.83939944559891
76,0.6825545950103902,1.0,68.25545950103901
77,0.7508100545114292,1.0,75.08100545114293
78,0.6757290490602863,1.0,67.57290490602863
79,0.743301953966315,1.0,74.33019539663151
80,0.6689717585696836,1.0,66.89717585696836
81,0.735868934426652,1.0,73.5868934426652
82,0.6622820409839868,1.0,66.22820409839868
83,0.7285102450823855,1.0,72.85102450823855
84,0.6556592205741469,1.0,65.5659220574147
85,0.7212251426315617,1.0,72.12251426315616
86,0.6491026283684055,1.0,64.91026283684054
87,0.7140128912052461,1.0,71.40128912052461
88,0.6426116020847216,1.0,64.26116020847216
89,0.7068727622931937,1.0,70.68727622931938
90,0.6361854860638744,1.0,63.618548606387435
91,0.6998040346702619,1.0,69.98040346702619
92,0.6298236312032357,1.0,62.98236312032357
93,0.6928059943235594,1.0,69.28059943235594
94,0.6235253948912035,1.0,62.35253948912035
95,0.685877934380324,1.0,68.58779343803239
96,0.6172901409422916,1.0,61.729014094229164
97,0.6790191550365209,1.0,67.90191550365209
98,0.6111172395328688,1.0,61.11172395328688
99,0.6722289634861557,1.0,67.22289634861556
100,0.6050060671375401,1.0,60.50060671375401
